Site,Lat,Lon,Campostoma pullum,Cyprinella camura,Cyprinella lutrensis,Cyprinella venusta,Cyprinella whipplei,Hybognathus nuchalis,Hybopsis winchelli,Luxilus chrysocephalus,Lythrurus fumeus,Lythrurus roseipinnis,Lythrurus umbratilis,Nocomis leptocephalus,Notemigonus crysoleucas,Notropis amplamala,Notropis atherinoides,Notropis buchanani,Notropis longirostris,Notropis volucellus,Pimephales notatus,Pimephales vigilax,Semotilus atromaculatus
1,31.98600378,-91.00749838,0,2,13,548,0,29,0,0,0,0,0,0,0,0,246,2,0,203,0,13,0
2,31.96523595,-90.98066973,0,0,5,371,0,4,0,0,0,0,0,0,0,0,11,0,1,141,0,60,0
3,31.90609114,-90.83538513,0,13,0,104,0,20,0,0,0,0,0,0,0,0,13,0,2,413,0,19,0
4,32.00561191,-90.78403392,0,79,2,850,0,167,0,0,0,0,0,0,0,0,170,0,79,69,3,112,0
5,32.02851757,-90.68129317,0,35,1,493,0,4,1,0,0,3,0,0,0,0,28,0,6,54,12,10,0
6,32.06205844,-90.6123034,0,36,0,136,2,12,0,0,0,0,0,2,0,0,0,0,6,11,3,7,0
7,32.08172815,-90.59792416,0,60,0,189,0,23,0,0,0,0,0,1,0,0,0,0,3,17,1,4,0
8,32.00311711,-90.68972748,0,32,2,216,0,57,0,0,0,0,0,0,0,0,16,0,13,16,0,3,0
9,31.93560336,-90.62186305,0,32,0,134,0,1,2,7,6,0,0,0,0,0,0,0,32,5,2,0,0
10,31.95206063,-90.5643839,0,64,6,357,0,10,0,0,0,0,0,0,0,0,5,0,18,74,0,3,0
11,31.94882191,-90.52165313,0,30,0,44,0,13,0,56,0,2,0,2,0,0,0,0,19,0,1,0,0
12,31.87004129,-90.49777816,0,75,0,283,0,54,1,0,0,2,0,0,0,0,0,0,59,0,18,16,0
13,31.91603498,-91.10836096,2,0,296,2,0,0,0,1,0,0,0,0,0,0,0,0,138,0,0,0,0
14,31.8959524,-90.96955641,0,0,0,21,0,0,0,3,0,78,23,0,0,0,0,0,0,0,17,0,0
15,31.91634658,-90.9302733,0,6,0,203,3,25,13,0,1,51,16,0,0,0,82,0,6,314,22,4,0
16,31.85702494,-90.91768543,3,48,0,45,0,15,0,6,0,14,0,0,0,0,0,0,12,13,13,0,0
17,31.85876675,-90.84676753,0,19,0,63,0,0,2,14,0,19,1,0,0,0,0,0,19,0,7,0,0
18,31.85005856,-90.74543381,0,10,0,0,0,0,1,12,0,19,7,12,0,0,0,0,0,0,7,0,0
19,31.80452354,-90.73919045,0,2,0,0,0,0,0,11,0,114,27,0,0,0,0,0,0,0,44,6,0
20,31.99836315,-90.92153311,0,16,8,635,0,9,0,0,0,1,0,0,0,0,315,0,0,11,46,38,0
21,32.00561792,-90.89623701,0,14,5,1351,2,3,0,1,0,0,0,0,0,0,88,0,4,33,9,68,0
22,32.01517595,-90.85253525,0,41,5,1089,0,2,0,1,0,0,0,0,0,0,64,0,11,2,4,17,0
23,32.13324625,-90.5439541,0,17,0,40,0,0,0,1,0,1,0,0,0,0,0,0,19,0,4,0,0
24,32.15609881,-90.44191086,0,1,0,7,0,0,0,0,0,24,9,15,0,0,0,0,0,0,43,0,0
25,32.06029403,-90.58735417,0,37,0,152,0,12,1,7,0,16,0,0,0,1,0,0,16,335,9,3,0
26,32.04729187,-90.51369554,0,16,0,82,0,0,0,5,0,1,0,1,1,0,0,0,1,0,0,0,0
27,32.02675159,-90.424762,0,5,0,62,0,0,0,82,0,3,0,0,0,0,0,0,40,0,50,0,0
28,31.95708181,-90.64292828,0,50,0,122,0,0,0,0,0,0,0,0,0,0,35,0,10,1,2,2,0
29,31.87594015,-90.62289372,0,32,0,58,0,17,0,19,0,4,0,1,0,0,0,0,9,0,0,1,0
30,31.83499011,-90.65749474,0,14,0,3,0,0,0,35,0,6,1,8,0,0,0,0,7,0,1,0,1
31,31.93362273,-90.53027846,0,52,0,507,0,20,0,0,0,27,0,0,0,0,108,0,139,134,3,25,0
32,31.95819512,-90.43764323,0,0,0,0,0,0,0,22,0,0,0,86,0,0,0,0,49,0,10,0,0
33,31.97177533,-90.41950228,0,0,0,0,0,0,0,126,0,0,0,36,0,0,0,0,46,0,19,0,6
34,31.9256558,-90.49373878,0,34,0,0,0,0,0,15,0,0,0,10,0,0,0,0,135,0,0,0,1
35,31.92749918,-90.47586903,3,0,0,0,0,0,0,37,0,3,1,18,0,0,0,0,74,0,20,0,1
36,31.82842488,-90.48146714,0,1,0,29,0,0,0,0,0,3,0,0,0,0,11,0,1,0,0,1,0
37,31.78440436,-90.46580937,0,27,0,46,0,0,0,1,0,6,1,0,0,0,0,0,28,0,3,3,0
38,31.75653151,-90.45945391,0,8,0,20,0,0,5,1,0,14,2,0,0,0,0,0,13,0,3,16,0
39,31.68924592,-90.49262996,0,0,0,0,0,0,0,50,0,95,20,1,0,0,0,0,0,0,1,0,0
40,31.67598392,-90.52709332,0,0,0,0,0,0,0,152,0,73,12,15,0,0,0,0,109,0,14,0,0
41,32.02122104,-90.69159579,0,65,0,372,0,9,9,0,0,0,0,0,0,0,35,0,62,161,1,70,0
